[14.10.2012 4:40:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:41:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:42:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:43:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:44:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:45:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:46:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:47:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:48:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:49:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:50:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:51:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:52:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:53:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:54:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:55:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:56:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:57:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:58:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 4:59:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:00:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:01:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:02:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:03:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:04:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:05:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:06:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:07:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:08:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:09:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:10:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:11:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:12:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:13:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:14:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:15:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:16:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:17:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:18:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:19:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:20:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:21:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:22:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:23:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:24:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:25:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:26:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:27:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:28:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:29:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:30:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:31:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:32:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:33:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:34:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:35:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:36:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:37:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:38:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:39:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:40:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:41:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:42:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:43:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:44:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:45:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:46:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:47:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:48:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:49:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:50:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:51:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:52:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:53:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:54:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:55:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:56:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:57:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:58:01] inner loop ended, sleeping for 60 seconds.
[14.10.2012 5:59:01] inner loop ended, sleeping for 60 seconds.
